NOMBRE,total_subscribers,total_views,total_videos
NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,33600000,11011230785,1591
DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,28600000,19775951435,3705
KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24100000,6015064768,1252
Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,24400000,15973601417,1136
Jelly @UC0DZmkupLYwc0yDsfocLh0A,23500000,15032515044,6331
Miss Katy @UCcartHVtvAUzfajflyeT_Gg,24500000,15462895287,1079
Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,23300000,12792401018,222
Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,26500000,18558843557,1664
Ali-A @UCYVinkwSX7szARULgYpvhLw,18900000,6454576924,4303
Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17200000,8599791929,367
Sidemen @sidemen,21000000,6051069699,349
Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,17500000,11172793107,1137
Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16300000,7760494530,278
JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,16300000,4235096703,1339
F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14100000,3338277500,779
BBC News @UC16niRr50-MSBwiO3YDb3RA,15800000,5219037615,21145
BBC @UCCj956IF62FbT7Gouszaj9w,14100000,10345796779,18714
Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,14000000,5895370212,923
DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12900000,13239805858,4517
colinfurze @UCp68_FLety0O-n9QU6phsgw,12900000,1737850096,397
Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,18300000,5224911221,1673
TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,14800000,2349069050,463
Morgz @UCBwSufNse8VMBvQM_rCSvgQ,12800000,3527357846,846
Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11400000,3241315094,1034
DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11900000,12280388976,2871
Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11100000,3827432341,734
Slogo @UCHdMK5Ef2El8KbD3L_WgANg,11600000,8851893106,6270
Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10600000,5738170096,96
Sing King @UCwTRjvjVge51X-ILJ4i22ew,11800000,7678054660,4272
BBC News Ø¹Ø±Ø¨ÙŠ @UCelk6aHijZq-GJBBB9YpReA,11500000,4858222538,40179
Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,10400000,3389019245,1680
Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9620000,2133109238,3530
Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,10800000,5694818370,363
Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,15400000,14098827274,1086
Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,11400000,5720253944,789
Julius Dein @juliusdein,9270000,2451490753,385
The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9170000,6991097254,5494
English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,10800000,490426319,400
Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,11800000,6270218465,834
Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,8980000,3389711424,2470
Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,9360000,3039992057,2070
Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8900000,3965481581,1849
Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,10900000,4173418733,1430
BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8240000,3704564707,4852
Liverpool FC @liverpoolfc,9700000,2681894913,6316
Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,8490000,2435603159,751
Daz Games @UCDBCCMlFD-hArPbWv38FINA,8530000,2672413657,1557
Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7610000,2158203758,5038
PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7790000,3050738424,1030
carwow @UCUhFaUpnq31m6TNX2VKVSVA,9110000,3805071140,2606
Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,11500000,6179524394,752
TomSka @UCOYWgypDktXdb-HfZnSMK6A,7280000,2075452515,177
YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7080000,4564618612,6435
LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7150000,3418445524,1072
The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,8200000,6813253792,311
